support_item_number,support_item_name,unit,national_2026_27,remote_2026_27,very_remote_2026_27,price_type_2026_27,effective_start,effective_end,schedule,table
10_002_0106_8_3,Support Coordination Level 2: Coordination of Supports,Hour,$100.14,$140.19,$150.21,priced,2026-07-01,2027-06-30,Schedule 6: Support Coordination,Support Coordination and Individualised Living Options
14_034_0127_8_3,Plan Management - Monthly Fee,Month,$104.45,,,priced,2026-07-01,2027-06-30,Schedule 7: Plan Management,Plan Management
01_023_0120_1_1,Assistance with the cost of the preparation and delivery of meals,Each,$1.00,,,priced,2026-07-01,2027-06-30,Schedule 8: Notional Unit Priced Items,Labour Notional Unit Items
01_050_0115_1_1,Assistance With Daily Life Tasks Provided In Residential Aged Care Facility,Each,$1.00,,,priced,2026-07-01,2027-06-30,Schedule 8: Notional Unit Priced Items,Labour Notional Unit Items
03_050903053_0103_1_1,Incontinence Alarms,Each,$1.00,,,priced,2026-07-01,2027-06-30,Schedule 8: Notional Unit Priced Items,Low Cost Assistance Technology Equipment
03_060000911_0135_1_1,Low Cost AT - Prosthetics And Orthotics,Each,$1.00,,,priced,2026-07-01,2027-06-30,Schedule 8: Notional Unit Priced Items,Low Cost Assistance Technology Equipment
03_090000911_0103_1_1,Low Cost AT - Personal Care And Safety,Each,$1.00,,,priced,2026-07-01,2027-06-30,Schedule 8: Notional Unit Priced Items,Low Cost Assistance Technology Equipment
03_040000919_0103_1_1,Disability-Related Health Consumables - Low Cost,Each,$1.00,,,priced,2026-07-01,2027-06-30,Schedule 8: Notional Unit Priced Items,Low Cost Assistance Technology Equipment
03_090348111_0103_1_2,Extra cost for adapted or adapting clothing and/or footwear for disability need,Each,$1.00,,,priced,2026-07-01,2027-06-30,Schedule 8: Notional Unit Priced Items,Low Cost Assistance Technology Equipment
03_090900111_0103_1_2,Assistive products for dressing or undressing,Each,$1.00,,,priced,2026-07-01,2027-06-30,Schedule 8: Notional Unit Priced Items,Low Cost Assistance Technology Equipment
03_091800084_0103_1_1,Continence - bowel care,Each,$1.00,,,priced,2026-07-01,2027-06-30,Schedule 8: Notional Unit Priced Items,Low Cost Assistance Technology Equipment
03_092100082_0103_1_1,Continence - consumables,Each,$1.00,,,priced,2026-07-01,2027-06-30,Schedule 8: Notional Unit Priced Items,Low Cost Assistance Technology Equipment
03_092400080_0103_1_1,Continence - catheters/sheaths,Each,$1.00,,,priced,2026-07-01,2027-06-30,Schedule 8: Notional Unit Priced Items,Low Cost Assistance Technology Equipment
03_092700081_0103_1_1,Continence - drain/leg bags,Each,$1.00,,,priced,2026-07-01,2027-06-30,Schedule 8: Notional Unit Priced Items,Low Cost Assistance Technology Equipment
03_092700083_0103_1_1,Continence - urinary collection items and accessories,Each,$1.00,,,priced,2026-07-01,2027-06-30,Schedule 8: Notional Unit Priced Items,Low Cost Assistance Technology Equipment
03_093021078_0103_1_1,Continence - reusable/washable personal protection,Each,$1.00,,,priced,2026-07-01,2027-06-30,Schedule 8: Notional Unit Priced Items,Low Cost Assistance Technology Equipment
03_093021079_0103_1_1,Continence - disposable personal protection,Each,$1.00,,,priced,2026-07-01,2027-06-30,Schedule 8: Notional Unit Priced Items,Low Cost Assistance Technology Equipment
03_093040085_0103_1_1,Continence - bed/chair/floor protection,Each,$1.00,,,priced,2026-07-01,2027-06-30,Schedule 8: Notional Unit Priced Items,Low Cost Assistance Technology Equipment
03_120000911_0105_1_1,Low Cost AT - Personal Mobility,Each,$1.00,,,priced,2026-07-01,2027-06-30,Schedule 8: Notional Unit Priced Items,Low Cost Assistance Technology Equipment
03_220300911_0113_1_1,Low Cost AT - Vision Related AT,Each,$1.00,,,priced,2026-07-01,2027-06-30,Schedule 8: Notional Unit Priced Items,Low Cost Assistance Technology Equipment
03_220600911_0122_1_1,Low Cost AT - Hearing Related AT,Each,$1.00,,,priced,2026-07-01,2027-06-30,Schedule 8: Notional Unit Priced Items,Low Cost Assistance Technology Equipment
03_222100911_0124_1_1,Low Cost AT - Communication Or Cognitive Support,Each,$1.00,,,priced,2026-07-01,2027-06-30,Schedule 8: Notional Unit Priced Items,Low Cost Assistance Technology Equipment
03_501509092_0103_1_1,Repairs and Maintenance - HEN AT,Each,$1.00,,,priced,2026-07-01,2027-06-30,Schedule 8: Notional Unit Priced Items,Low Cost Assistance Technology Equipment
03_710400002_0103_1_1,Disability-Related Health Equipment and Consumables - Set Up/Training,Each,$1.00,,,priced,2026-07-01,2027-06-30,Schedule 8: Notional Unit Priced Items,Low Cost Assistance Technology Equipment
03_710930080_0103_1_1,Delivery - Personal care Safety and Disability-related Health Consumables,Each,$1.00,,,priced,2026-07-01,2027-06-30,Schedule 8: Notional Unit Priced Items,Low Cost Assistance Technology Equipment
03_900100156_0130_1_1,Assistance Animal - Dog Guide - Dietary Needs,Each,$1.00,,,priced,2026-07-01,2027-06-30,Schedule 8: Notional Unit Priced Items,Assistance Animal Ongoing Costs
03_900100157_0130_1_1,Assistance Animal - Dog Guide - Grooming,Each,$1.00,,,priced,2026-07-01,2027-06-30,Schedule 8: Notional Unit Priced Items,Assistance Animal Ongoing Costs
03_900100158_0130_1_1,Assistance Animal - Dog Guide - Veterinary Services,Each,$1.00,,,priced,2026-07-01,2027-06-30,Schedule 8: Notional Unit Priced Items,Assistance Animal Ongoing Costs
03_900100159_0130_1_1,Assistance Animal - Dog Guide - Annual Accreditation,Each,$1.00,,,priced,2026-07-01,2027-06-30,Schedule 8: Notional Unit Priced Items,Assistance Animal Ongoing Costs
05_0002_0103_1_2,AT Supplementary Charge - AT Personal Care/Safety,Each,$1.00,,,priced,2026-07-01,2027-06-30,Schedule 8: Notional Unit Priced Items,Assistive Technology Supplementary Charges
05_0002_0105_1_2,AT Supplementary Charge - Personal Mobility or Transfer,Each,$1.00,,,priced,2026-07-01,2027-06-30,Schedule 8: Notional Unit Priced Items,Assistive Technology Supplementary Charges
05_0002_0109_1_2,AT Supplementary Charge - Vehicle modifications,Each,$1.00,,,priced,2026-07-01,2027-06-30,Schedule 8: Notional Unit Priced Items,Assistive Technology Supplementary Charges
05_0002_0112_1_2,AT Supplementary Charge - Recreation including sport,Each,$1.00,,,priced,2026-07-01,2027-06-30,Schedule 8: Notional Unit Priced Items,Assistive Technology Supplementary Charges
05_0002_0113_1_2,AT Supplementary Charge - Vision,Each,$1.00,,,priced,2026-07-01,2027-06-30,Schedule 8: Notional Unit Priced Items,Assistive Technology Supplementary Charges
05_0002_0122_1_2,AT Supplementary Charge - Hearing products,Each,$1.00,,,priced,2026-07-01,2027-06-30,Schedule 8: Notional Unit Priced Items,Assistive Technology Supplementary Charges
05_0002_0123_1_2,AT Supplementary Charge - Household Tasks and Control,Each,$1.00,,,priced,2026-07-01,2027-06-30,Schedule 8: Notional Unit Priced Items,Assistive Technology Supplementary Charges
05_0002_0124_1_2,AT Supplementary Charge - Communication and Information support,Each,$1.00,,,priced,2026-07-01,2027-06-30,Schedule 8: Notional Unit Priced Items,Assistive Technology Supplementary Charges
05_0002_0135_1_2,AT Supplementary Charge - Prosthesis or Orthosis,Each,$1.00,,,priced,2026-07-01,2027-06-30,Schedule 8: Notional Unit Priced Items,Assistive Technology Supplementary Charges
05_040312115_0103_1_2,AT Rental - Assistive Products for Respiration Support,Each,$1.00,,,priced,2026-07-01,2027-06-30,Schedule 8: Notional Unit Priced Items,Assistive Technology Rental
05_060000115_0135_1_2,AT Rental - Prosthesis and Orthosis,Each,$1.00,,,priced,2026-07-01,2027-06-30,Schedule 8: Notional Unit Priced Items,Assistive Technology Rental
05_090000155_0103_1_2,AT Rental - Personal Care and Safety,Each,$1.00,,,priced,2026-07-01,2027-06-30,Schedule 8: Notional Unit Priced Items,Assistive Technology Rental
05_121227125_0108_1_2,AT Rental - Vehicle modified for Access,Each,$1.00,,,priced,2026-07-01,2027-06-30,Schedule 8: Notional Unit Priced Items,Assistive Technology Rental
05_150000115_0123_1_2,AT Rental - Assistive Products for Household Tasks,Each,$1.00,,,priced,2026-07-01,2027-06-30,Schedule 8: Notional Unit Priced Items,Assistive Technology Rental
05_222100115_0124_1_2,AT Rental - Communication and Computer access,Each,$1.00,,,priced,2026-07-01,2027-06-30,Schedule 8: Notional Unit Priced Items,Assistive Technology Rental
05_300000115_0112_1_2,AT Rental - Modified for accessible recreation,Each,$1.00,,,priced,2026-07-01,2027-06-30,Schedule 8: Notional Unit Priced Items,Assistive Technology Rental
05_220300115_0113_1_2,AT Rental - Vision support or alternate access,Each,$1.00,,,priced,2026-07-01,2027-06-30,Schedule 8: Notional Unit Priced Items,Assistive Technology Rental
05_220600112_0122_1_2,AT Rental - Hearing Devices and Accessories,Each,$1.00,,,priced,2026-07-01,2027-06-30,Schedule 8: Notional Unit Priced Items,Assistive Technology Rental
05_150300111_0123_2_2,Assistive products for preparing food and drink,Each,$1.00,,,priced,2026-07-01,2027-06-30,Schedule 8: Notional Unit Priced Items,Assistive Products
05_150600111_0123_2_2,Assistive products for dishwashing,Each,$1.00,,,priced,2026-07-01,2027-06-30,Schedule 8: Notional Unit Priced Items,Assistive Products
05_150900111_0123_2_2,Assistive products for eating and drinking,Each,$1.00,,,priced,2026-07-01,2027-06-30,Schedule 8: Notional Unit Priced Items,Assistive Products
05_151200111_0123_2_2,Assistive products to facilitate house cleaning,Each,$1.00,,,priced,2026-07-01,2027-06-30,Schedule 8: Notional Unit Priced Items,Assistive Products
05_151600111_0123_2_2,Assistive products to facilitate laundry,Each,$1.00,,,priced,2026-07-01,2027-06-30,Schedule 8: Notional Unit Priced Items,Assistive Products
05_151800111_0123_2_2,Assistive products to facilitate gardening,Each,$1.00,,,priced,2026-07-01,2027-06-30,Schedule 8: Notional Unit Priced Items,Assistive Products
05_189900111_0123_2_2,"Customisation, adaptions, or upgrade cost to standard household items",Each,$1.00,,,priced,2026-07-01,2027-06-30,Schedule 8: Notional Unit Priced Items,Customisation and adaptations
05_221300111_0124_1_2,Communication and Information AT - Computer/Device Interfaces,Each,$1.00,,,priced,2026-07-01,2027-06-30,Schedule 8: Notional Unit Priced Items,Adaptive Assistive Technology
05_222102112_0124_1_2,Adaptive software for a communication or information access disability need,Each,$1.00,,,priced,2026-07-01,2027-06-30,Schedule 8: Notional Unit Priced Items,Adaptive Assistive Technology
05_222404259_0113_1_2,Vision - modification to a standard item for vision impairment,Each,$1.00,,,priced,2026-07-01,2027-06-30,Schedule 8: Notional Unit Priced Items,Adaptive Assistive Technology
05_300000113_0112_1_2,Modification to a standard Recreation/Sporting Equipment,Each,$1.00,,,priced,2026-07-01,2027-06-30,Schedule 8: Notional Unit Priced Items,Adaptive Assistive Technology
05_500000303_0103_1_2,Repairs and Maintenance - Other AT,Each,$1.00,,,priced,2026-07-01,2027-06-30,Schedule 8: Notional Unit Priced Items,Assistive Technology Repairs and Maintenance
05_500403159_0103_1_1,Repairs and Maintenance - Disability-Related Health Machines,Each,$1.00,,,priced,2026-07-01,2027-06-30,Schedule 8: Notional Unit Priced Items,Assistive Technology Repairs and Maintenance
05_500433443_0103_1_2,Repairs and Maintenance - Personal Care/Safety After-Hours,Each,$1.00,,,priced,2026-07-01,2027-06-30,Schedule 8: Notional Unit Priced Items,Assistive Technology Repairs and Maintenance
05_500612441_0135_1_2,Repairs and Maintenance - Orthosis,Each,$1.00,,,priced,2026-07-01,2027-06-30,Schedule 8: Notional Unit Priced Items,Assistive Technology Repairs and Maintenance
05_500624304_0135_1_2,Repairs and Maintenance - Prosthesis - Minor,Each,$1.00,,,priced,2026-07-01,2027-06-30,Schedule 8: Notional Unit Priced Items,Assistive Technology Repairs and Maintenance
05_500933306_0103_1_2,Repairs and Maintenance - Bathing And Toileting AT,Each,$1.00,,,priced,2026-07-01,2027-06-30,Schedule 8: Notional Unit Priced Items,Assistive Technology Repairs and Maintenance
05_501200307_0105_1_2,Repairs and Maintenance - Wheeled Mobility Minor,Each,$1.00,,,priced,2026-07-01,2027-06-30,Schedule 8: Notional Unit Priced Items,Assistive Technology Repairs and Maintenance
05_501212373_0109_1_2,Repairs and Maintenance - Vehicle Modification,Each,$1.00,,,priced,2026-07-01,2027-06-30,Schedule 8: Notional Unit Priced Items,Assistive Technology Repairs and Maintenance
05_501224309_0105_1_2,Tyre - Wheeled mobility,Each,$1.00,,,priced,2026-07-01,2027-06-30,Schedule 8: Notional Unit Priced Items,Assistive Technology Repairs and Maintenance
05_501236025_0105_1_2,Repairs and Maintenance - Transfer AT,Each,$1.00,,,priced,2026-07-01,2027-06-30,Schedule 8: Notional Unit Priced Items,Assistive Technology Repairs and Maintenance
05_501288435_0105_1_2,Repairs and Maintenance - Mobility and Transfer - After-Hours,Each,$1.00,,,priced,2026-07-01,2027-06-30,Schedule 8: Notional Unit Priced Items,Assistive Technology Repairs and Maintenance
05_501812311_0103_1_2,Repairs and Maintenance - Electric Bed,Each,$1.00,,,priced,2026-07-01,2027-06-30,Schedule 8: Notional Unit Priced Items,Assistive Technology Repairs and Maintenance
05_502200312_0124_1_2,Repairs and Maintenance - Communication Cognitive or ECU AT,Each,$1.00,,,priced,2026-07-01,2027-06-30,Schedule 8: Notional Unit Priced Items,Assistive Technology Repairs and Maintenance
05_502206151_0122_1_2,Repairs and Maintenance - Hearing AT,Each,$1.00,,,priced,2026-07-01,2027-06-30,Schedule 8: Notional Unit Priced Items,Assistive Technology Repairs and Maintenance
05_502218315_0113_1_2,Repairs and Maintenance - Vision AT,Each,$1.00,,,priced,2026-07-01,2027-06-30,Schedule 8: Notional Unit Priced Items,Assistive Technology Repairs and Maintenance
05_503000316_0112_1_2,Repairs and Maintenance - Specialised Recreation AT,Each,$1.00,,,priced,2026-07-01,2027-06-30,Schedule 8: Notional Unit Priced Items,Assistive Technology Repairs and Maintenance
05_711000080_0103_1_2,Delivery - Personal Care and Safety AT,Each,$1.00,,,priced,2026-07-01,2027-06-30,Schedule 8: Notional Unit Priced Items,Assistive Technology Delivery
05_711000080_0105_1_2,Delivery - Personal Mobility and Transfer AT,Each,$1.00,,,priced,2026-07-01,2027-06-30,Schedule 8: Notional Unit Priced Items,Assistive Technology Delivery
05_711000080_0109_1_2,Delivery - Vehicle modifications AT,Each,$1.00,,,priced,2026-07-01,2027-06-30,Schedule 8: Notional Unit Priced Items,Assistive Technology Delivery
05_711000080_0112_1_2,Delivery - Recreation AT,Each,$1.00,,,priced,2026-07-01,2027-06-30,Schedule 8: Notional Unit Priced Items,Assistive Technology Delivery
05_711000080_0113_1_2,Delivery - Vision AT,Each,$1.00,,,priced,2026-07-01,2027-06-30,Schedule 8: Notional Unit Priced Items,Assistive Technology Delivery
05_711000080_0119_1_2,Delivery - Specialised Hearing AT,Each,$1.00,,,priced,2026-07-01,2027-06-30,Schedule 8: Notional Unit Priced Items,Assistive Technology Delivery
05_711000080_0122_1_2,Delivery - Hearing AT,Each,$1.00,,,priced,2026-07-01,2027-06-30,Schedule 8: Notional Unit Priced Items,Assistive Technology Delivery
05_711000080_0123_1_2,Delivery - Household Tasks or Control AT,Each,$1.00,,,priced,2026-07-01,2027-06-30,Schedule 8: Notional Unit Priced Items,Assistive Technology Delivery
05_711000080_0124_1_2,Delivery - Communication and Information AT,Each,$1.00,,,priced,2026-07-01,2027-06-30,Schedule 8: Notional Unit Priced Items,Assistive Technology Delivery
05_711000080_0135_1_2,Delivery - Prosthesis or Orthosis,Each,$1.00,,,priced,2026-07-01,2027-06-30,Schedule 8: Notional Unit Priced Items,Assistive Technology Delivery
06_180000111_0111_2_2,HM Rental - Bathroom Toilet Ramp,Each,$1.00,,,priced,2026-07-01,2027-06-30,Schedule 8: Notional Unit Priced Items,Home Modifications
06_182100401_0111_2_2,MHM - Electrical and Door Automation,Each,$1.00,,,priced,2026-07-01,2027-06-30,Schedule 8: Notional Unit Priced Items,Home Modifications
06_182409401_0111_2_2,MHM - External Door,Each,$1.00,,,priced,2026-07-01,2027-06-30,Schedule 8: Notional Unit Priced Items,Home Modifications
06_182409402_0111_2_2,MHM - Internal Door,Each,$1.00,,,priced,2026-07-01,2027-06-30,Schedule 8: Notional Unit Priced Items,Home Modifications
06_182415401_0111_2_2,MHM - Flooring,Each,$1.00,,,priced,2026-07-01,2027-06-30,Schedule 8: Notional Unit Priced Items,Home Modifications
06_182495322_0111_2_2,MHM - Practical Completion,Each,$1.00,,,priced,2026-07-01,2027-06-30,Schedule 8: Notional Unit Priced Items,Home Modifications
06_182495401_0111_2_2,MHM - Bathroom,Each,$1.00,,,priced,2026-07-01,2027-06-30,Schedule 8: Notional Unit Priced Items,Home Modifications
06_182495402_0111_2_2,MHM - Kitchen,Each,$1.00,,,priced,2026-07-01,2027-06-30,Schedule 8: Notional Unit Priced Items,Home Modifications
06_182495405_0111_2_2,MHM - Laundry,Each,$1.00,,,priced,2026-07-01,2027-06-30,Schedule 8: Notional Unit Priced Items,Home Modifications
06_182495407_0111_2_2,MHM - Other works including Bedroom,Each,$1.00,,,priced,2026-07-01,2027-06-30,Schedule 8: Notional Unit Priced Items,Home Modifications
06_182495413_0111_2_2,MHM - Toilet Replacement,Each,$1.00,,,priced,2026-07-01,2027-06-30,Schedule 8: Notional Unit Priced Items,Home Modifications
06_182495414_0111_2_2,MHM - Cabinetry Alterations,Each,$1.00,,,priced,2026-07-01,2027-06-30,Schedule 8: Notional Unit Priced Items,Home Modifications
06_182499311_0111_2_2,HM - Design Consultation with Builder,Each,$1.00,,,priced,2026-07-01,2027-06-30,Schedule 8: Notional Unit Priced Items,Home Modifications
06_183018404_0111_2_2,MHM - Ramp,Each,$1.00,,,priced,2026-07-01,2027-06-30,Schedule 8: Notional Unit Priced Items,Home Modifications
06_183090401_0111_2_2,MHM - Pathway - External,Each,$1.00,,,priced,2026-07-01,2027-06-30,Schedule 8: Notional Unit Priced Items,Home Modifications
06_270303401_0111_2_2,MHM - Airconditioning,Each,$1.00,,,priced,2026-07-01,2027-06-30,Schedule 8: Notional Unit Priced Items,Home Modifications
06_501824150_0111_2_2,Building Modifications due to damage caused by disability-related behaviours,Each,$1.00,,,priced,2026-07-01,2027-06-30,Schedule 8: Notional Unit Priced Items,Home Modifications
06_501824151_0111_2_2,Building Modifications due to damage caused by AT,Each,$1.00,,,priced,2026-07-01,2027-06-30,Schedule 8: Notional Unit Priced Items,Home Modifications
01_799_0102_1_1,Provider travel - non-labour costs,Each,$1.00,,,priced,2026-07-01,2027-06-30,Schedule 8: Notional Unit Priced Items,Non-labour Travel Costs
01_799_0104_1_1,Provider travel - non-labour costs,Each,$1.00,,,priced,2026-07-01,2027-06-30,Schedule 8: Notional Unit Priced Items,Non-labour Travel Costs
01_799_0106_1_1,Provider travel - non-labour costs,Each,$1.00,,,priced,2026-07-01,2027-06-30,Schedule 8: Notional Unit Priced Items,Non-labour Travel Costs
01_799_0107_1_1,Provider travel - non-labour costs,Each,$1.00,,,priced,2026-07-01,2027-06-30,Schedule 8: Notional Unit Priced Items,Non-labour Travel Costs
01_799_0110_1_1,Provider travel - non-labour costs,Each,$1.00,,,priced,2026-07-01,2027-06-30,Schedule 8: Notional Unit Priced Items,Non-labour Travel Costs
01_799_0114_1_1,Provider travel - non-labour costs,Each,$1.00,,,priced,2026-07-01,2027-06-30,Schedule 8: Notional Unit Priced Items,Non-labour Travel Costs
01_799_0115_1_1,Provider travel - non-labour costs,Each,$1.00,,,priced,2026-07-01,2027-06-30,Schedule 8: Notional Unit Priced Items,Non-labour Travel Costs
01_799_0117_8_1,Provider travel - non-labour costs,Each,$1.00,,,priced,2026-07-01,2027-06-30,Schedule 8: Notional Unit Priced Items,Non-labour Travel Costs
01_799_0118_1_1,Provider travel - non-labour costs,Each,$1.00,,,priced,2026-07-01,2027-06-30,Schedule 8: Notional Unit Priced Items,Non-labour Travel Costs
01_799_0119_1_1,Provider travel - non-labour costs,Each,$1.00,,,priced,2026-07-01,2027-06-30,Schedule 8: Notional Unit Priced Items,Non-labour Travel Costs
01_799_0120_1_1,Provider travel - non-labour costs,Each,$1.00,,,priced,2026-07-01,2027-06-30,Schedule 8: Notional Unit Priced Items,Non-labour Travel Costs
01_799_0126_1_1,Provider travel - non-labour costs,Each,$1.00,,,priced,2026-07-01,2027-06-30,Schedule 8: Notional Unit Priced Items,Non-labour Travel Costs
01_799_0128_1_1,Provider travel - non-labour costs,Each,$1.00,,,priced,2026-07-01,2027-06-30,Schedule 8: Notional Unit Priced Items,Non-labour Travel Costs
01_799_0129_1_1,Provider travel - non-labour costs,Each,$1.00,,,priced,2026-07-01,2027-06-30,Schedule 8: Notional Unit Priced Items,Non-labour Travel Costs
01_799_0132_1_1,Provider travel - non-labour costs,Each,$1.00,,,priced,2026-07-01,2027-06-30,Schedule 8: Notional Unit Priced Items,Non-labour Travel Costs
01_799_0134_1_1,Provider travel - non-labour costs,Each,$1.00,,,priced,2026-07-01,2027-06-30,Schedule 8: Notional Unit Priced Items,Non-labour Travel Costs
01_799_0135_1_1,Provider travel - non-labour costs,Each,$1.00,,,priced,2026-07-01,2027-06-30,Schedule 8: Notional Unit Priced Items,Non-labour Travel Costs
04_799_0104_6_1,Provider travel - non-labour costs,Each,$1.00,,,priced,2026-07-01,2027-06-30,Schedule 8: Notional Unit Priced Items,Non-labour Travel Costs
04_799_0125_6_1,Provider travel - non-labour costs,Each,$1.00,,,priced,2026-07-01,2027-06-30,Schedule 8: Notional Unit Priced Items,Non-labour Travel Costs
04_799_0133_5_1,Provider travel - non-labour costs,Each,$1.00,,,priced,2026-07-01,2027-06-30,Schedule 8: Notional Unit Priced Items,Non-labour Travel Costs
04_799_0136_6_1,Provider travel - non-labour costs,Each,$1.00,,,priced,2026-07-01,2027-06-30,Schedule 8: Notional Unit Priced Items,Non-labour Travel Costs
07_799_0106_6_3,Provider travel - non-labour costs,Each,$1.00,,,priced,2026-07-01,2027-06-30,Schedule 8: Notional Unit Priced Items,Non-labour Travel Costs
07_799_0117_8_3,Provider travel - non-labour costs,Each,$1.00,,,priced,2026-07-01,2027-06-30,Schedule 8: Notional Unit Priced Items,Non-labour Travel Costs
07_799_0132_8_3,Provider travel - non-labour costs,Each,$1.00,,,priced,2026-07-01,2027-06-30,Schedule 8: Notional Unit Priced Items,Non-labour Travel Costs
08_799_0106_2_3,Provider travel - non-labour costs,Each,$1.00,,,priced,2026-07-01,2027-06-30,Schedule 8: Notional Unit Priced Items,Non-labour Travel Costs
09_799_0106_6_3,Provider travel - non-labour costs,Each,$1.00,,,priced,2026-07-01,2027-06-30,Schedule 8: Notional Unit Priced Items,Non-labour Travel Costs
09_799_0117_6_3,Provider travel - non-labour costs,Each,$1.00,,,priced,2026-07-01,2027-06-30,Schedule 8: Notional Unit Priced Items,Non-labour Travel Costs
10_799_0102_5_3,Provider travel - non-labour costs,Each,$1.00,,,priced,2026-07-01,2027-06-30,Schedule 8: Notional Unit Priced Items,Non-labour Travel Costs
10_799_0128_5_3,Provider travel - non-labour costs,Each,$1.00,,,priced,2026-07-01,2027-06-30,Schedule 8: Notional Unit Priced Items,Non-labour Travel Costs
10_799_0133_5_3,Provider travel - non-labour costs,Each,$1.00,,,priced,2026-07-01,2027-06-30,Schedule 8: Notional Unit Priced Items,Non-labour Travel Costs
11_799_0110_7_3,Provider travel - non-labour costs,Each,$1.00,,,priced,2026-07-01,2027-06-30,Schedule 8: Notional Unit Priced Items,Non-labour Travel Costs
11_799_0117_7_3,Provider travel - non-labour costs,Each,$1.00,,,priced,2026-07-01,2027-06-30,Schedule 8: Notional Unit Priced Items,Non-labour Travel Costs
12_799_0126_3_3,Provider travel - non-labour costs,Each,$1.00,,,priced,2026-07-01,2027-06-30,Schedule 8: Notional Unit Priced Items,Non-labour Travel Costs
12_799_0128_3_3,Provider travel - non-labour costs,Each,$1.00,,,priced,2026-07-01,2027-06-30,Schedule 8: Notional Unit Priced Items,Non-labour Travel Costs
13_799_0102_4_3,Provider travel - non-labour costs,Each,$1.00,,,priced,2026-07-01,2027-06-30,Schedule 8: Notional Unit Priced Items,Non-labour Travel Costs
15_799_0103_6_3,Provider travel - non-labour costs,Each,$1.00,,,priced,2026-07-01,2027-06-30,Schedule 8: Notional Unit Priced Items,Non-labour Travel Costs
15_799_0106_1_3,Provider travel - non-labour costs,Each,$1.00,,,priced,2026-07-01,2027-06-30,Schedule 8: Notional Unit Priced Items,Non-labour Travel Costs
15_799_0114_1_3,Provider travel - non-labour costs,Each,$1.00,,,priced,2026-07-01,2027-06-30,Schedule 8: Notional Unit Priced Items,Non-labour Travel Costs
15_799_0117_1_3,Provider travel - non-labour costs,Each,$1.00,,,priced,2026-07-01,2027-06-30,Schedule 8: Notional Unit Priced Items,Non-labour Travel Costs
15_799_0118_1_3,Provider travel - non-labour costs,Each,$1.00,,,priced,2026-07-01,2027-06-30,Schedule 8: Notional Unit Priced Items,Non-labour Travel Costs
15_799_0119_1_3,Provider travel - non-labour costs,Each,$1.00,,,priced,2026-07-01,2027-06-30,Schedule 8: Notional Unit Priced Items,Non-labour Travel Costs
15_799_0126_1_3,Provider travel - non-labour costs,Each,$1.00,,,priced,2026-07-01,2027-06-30,Schedule 8: Notional Unit Priced Items,Non-labour Travel Costs
15_799_0128_1_3,Provider travel - non-labour costs,Each,$1.00,,,priced,2026-07-01,2027-06-30,Schedule 8: Notional Unit Priced Items,Non-labour Travel Costs
15_799_0134_1_3,Provider travel - non-labour costs,Each,$1.00,,,priced,2026-07-01,2027-06-30,Schedule 8: Notional Unit Priced Items,Non-labour Travel Costs
15_799_0135_1_3,Provider travel - non-labour costs,Each,$1.00,,,priced,2026-07-01,2027-06-30,Schedule 8: Notional Unit Priced Items,Non-labour Travel Costs
04_590_0125_6_1,Activity Based Transport,Each,$1.00,,,priced,2026-07-01,2027-06-30,Schedule 8: Notional Unit Priced Items,Activity Based Transport
04_591_0136_6_1,Activity Based Transport,Each,$1.00,,,priced,2026-07-01,2027-06-30,Schedule 8: Notional Unit Priced Items,Activity Based Transport
04_592_0104_6_1,Activity Based Transport,Each,$1.00,,,priced,2026-07-01,2027-06-30,Schedule 8: Notional Unit Priced Items,Activity Based Transport
04_821_0133_6_1,Activity Based Transport,Each,$1.00,,,priced,2026-07-01,2027-06-30,Schedule 8: Notional Unit Priced Items,Activity Based Transport
07_501_0106_6_3,Activity Based Transport,Each,$1.00,,,priced,2026-07-01,2027-06-30,Schedule 8: Notional Unit Priced Items,Activity Based Transport
08_590_0106_2_3,Activity Based Transport,Each,$1.00,,,priced,2026-07-01,2027-06-30,Schedule 8: Notional Unit Priced Items,Activity Based Transport
09_590_0106_6_3,Activity Based Transport,Each,$1.00,,,priced,2026-07-01,2027-06-30,Schedule 8: Notional Unit Priced Items,Activity Based Transport
09_591_0117_6_3,Activity Based Transport,Each,$1.00,,,priced,2026-07-01,2027-06-30,Schedule 8: Notional Unit Priced Items,Activity Based Transport
10_590_0102_5_3,Activity Based Transport,Each,$1.00,,,priced,2026-07-01,2027-06-30,Schedule 8: Notional Unit Priced Items,Activity Based Transport
10_590_0133_5_3,Activity Based Transport,Each,$1.00,,,priced,2026-07-01,2027-06-30,Schedule 8: Notional Unit Priced Items,Activity Based Transport
11_590_0117_7_3,Activity Based Transport,Each,$1.00,,,priced,2026-07-01,2027-06-30,Schedule 8: Notional Unit Priced Items,Activity Based Transport
13_590_0102_4_3,Activity Based Transport,Each,$1.00,,,priced,2026-07-01,2027-06-30,Schedule 8: Notional Unit Priced Items,Activity Based Transport
01_821_0115_1_1,Assistance in Supported Independent Living - Weekly,Week,,,,no_specified_price,2026-07-01,2027-06-30,Schedule 9: Support items without specified prices,Labour items
01_822_0115_1_1,Assistance in Supported Independent Living - Exit Accommodation Permanently,Each,,,,no_specified_price,2026-07-01,2027-06-30,Schedule 9: Support items without specified prices,Labour items
01_821_0138_1_1,Supported Independent Living - Weekly,Week,,,,no_specified_price,2026-07-01,2027-06-30,Schedule 9: Support items without specified prices,Labour items
